,stamp,name,acc,prec,recall,preval,newRecall
102,2017-04-11 06:14,stm_aasane16,0.9976,0.192,1.0,0.00034,True
103,2017-04-11 06:26,stm_aasane18,0.9989,0.0,0.0,0.00019,True
104,2017-04-11 06:40,stm_sb,0.999,0.133,0.4,0.00037,True
105,2017-04-11 06:49,stm_aasane01_03,0.9973,0.0,0.0,0.00016,True
106,2017-04-11 07:08,stm_aasane16,0.9969,0.035,0.333,0.00034,True
107,2017-04-11 07:17,stm_aasane18,0.9974,0.018,0.25,0.00019,True
108,2017-04-11 07:28,stm_sb,0.9979,0.162,1.0,0.00037,True
109,2017-04-11 07:36,stm_aasane01_03,0.9957,0.0,0.0,0.00016,True
110,2017-04-11 07:54,stm_aasane16,0.9989,0.231,1.0,0.00034,True
111,2017-04-11 08:04,stm_aasane18,0.9991,0.0,0.0,0.00019,True
112,2017-04-11 08:17,stm_sb,0.9996,0.353,0.6,0.00037,True
113,2017-04-11 08:27,stm_aasane01_03,0.9992,0.0,0.0,0.00016,True
114,2017-04-11 08:45,stm_aasane16,0.9975,0.12,1.0,0.00034,True
115,2017-04-11 08:55,stm_aasane18,0.9972,0.048,0.75,0.00019,True
116,2017-04-11 09:06,stm_sb,0.9978,0.181,1.0,0.00037,True
117,2017-04-11 09:14,stm_aasane01_03,0.9979,0.071,1.0,0.00016,True
118,2017-04-11 09:32,stm_aasane16,0.9999,0.6,0.5,0.00034,True
119,2017-04-11 09:43,stm_aasane18,0.9994,0.0,0.0,0.00019,True
120,2017-04-11 09:55,stm_sb,0.9994,0.0,0.0,0.00037,True
121,2017-04-11 10:05,stm_aasane01_03,0.999,0.0,0.0,0.00016,True
122,2017-04-11 10:24,stm_aasane16,0.9979,0.075,0.5,0.00034,True
123,2017-04-11 10:33,stm_aasane18,0.999,0.0,0.0,0.00019,True
124,2017-04-11 10:44,stm_sb,0.9988,0.154,0.6,0.00037,True
125,2017-04-11 10:52,stm_aasane01_03,0.9985,0.0,0.0,0.00016,True
126,2017-04-11 11:11,stm_aasane16,1.0,1.0,0.667,0.00034,True
127,2017-04-11 11:22,stm_aasane18,0.9999,0.0,0.0,0.00019,True
128,2017-04-11 11:35,stm_sb,1.0,0.0,0.0,0.00037,True
129,2017-04-11 11:44,stm_aasane01_03,0.9996,0.0,0.0,0.00016,True
130,2017-04-11 12:04,stm_aasane16,0.9993,0.0,0.0,0.00034,True
131,2017-04-11 12:14,stm_aasane18,0.9994,0.0,0.0,0.00019,True
132,2017-04-11 12:26,stm_sb,0.9996,0.0,0.0,0.00037,True
133,2017-04-11 12:34,stm_aasane01_03,0.9998,0.0,0.0,0.00016,True
134,2017-04-11 12:51,stm_aasane16,0.997,0.054,0.5,0.00034,True
135,2017-04-11 13:01,stm_aasane18,0.997,0.03,0.5,0.00019,True
136,2017-04-11 13:13,stm_sb,0.9965,0.096,1.0,0.00037,True
137,2017-04-11 13:20,stm_aasane01_03,0.9968,0.09,1.0,0.00016,True
138,2017-04-11 13:35,stm_aasane16,0.9964,0.03,0.333,0.00034,True
139,2017-04-11 13:42,stm_aasane18,0.9939,0.03,1.0,0.00019,True
140,2017-04-11 13:50,stm_sb,0.9949,0.138,1.0,0.00037,True
141,2017-04-11 13:55,stm_aasane01_03,0.9947,0.0,0.0,0.00016,True
142,2017-04-11 14:10,stm_aasane16,0.998,0.053,0.333,0.00034,True
143,2017-04-11 14:21,stm_aasane18,0.9972,0.076,1.0,0.00019,True
144,2017-04-11 14:33,stm_sb,0.9983,0.043,0.2,0.00037,True
145,2017-04-11 14:41,stm_aasane01_03,0.9962,0.174,1.0,0.00016,True
146,2017-05-05 22:36,stm_aasane16,0.9977,0.109,0.333,0.00034,True
147,2017-05-05 22:48,stm_aasane18,0.9967,0.014,0.25,0.00019,True
148,2017-05-05 23:05,stm_sb,0.9976,0.143,0.3,0.00037,True
149,2017-05-05 23:14,stm_aasane01_03,0.9964,0.19,0.333,0.00016,True
150,2017-05-05 23:23,stm_aasane16,0.9966,0.032,0.167,0.00034,True
151,2017-05-05 23:36,stm_aasane18,0.9974,0.111,0.25,0.00019,True
152,2017-05-05 23:53,stm_sb,0.9967,0.073,0.2,0.00037,True
153,2017-05-06 00:02,stm_aasane01_03,0.9951,0.139,0.333,0.00016,True
154,2017-05-06 00:09,stm_aasane16,0.9979,0.255,0.5,0.00034,True
155,2017-05-06 00:17,stm_aasane18,0.9968,0.014,0.25,0.00019,True
156,2017-05-06 00:28,stm_sb,0.9974,0.091,0.2,0.00037,True
157,2017-05-06 00:35,stm_aasane01_03,0.9955,0.141,0.333,0.00016,True
158,2017-05-06 00:41,stm_aasane16,0.9978,0.204,0.5,0.00034,True
